countycode,white_percentage,black_percentage,ame_ala_percentage,asian_percentage,native_pacific_percentage,other_percentage,two_more_percentage,median_year_structure_built,median_value
5013,74.419998,22.15,0,0,.28999999,.17,2.97,1976,73100
5015,89.300003,.88999999,1.2,1.37,.99000001,1.7,4.5500002,1988,143600
5017,42.57,53.779999,.15000001,.60000002,0,.64999998,2.24,1976,68000
5019,69.980003,24.209999,.2,.63999999,.050000001,2.98,1.95,1984,116100
5021,95.529999,.49000001,.38999999,.029999999,0,1.41,2.1500001,1974,79600
5023,96.07,.91000003,.88999999,.33000001,0,.029999999,1.78,1987,126400
5025,84.419998,13.48,.28999999,0,0,0,1.8099999,1982,90400
5027,61.02,36.16,.23,.81,0,.89999998,.87,1975,87700
5029,85.209999,10.1,.43000001,.49000001,0,.0099999998,3.75,1978,113500
5031,77.639999,15.22,.2,1.33,.0099999998,2.01,3.5999999,1990,149700
5033,87.720001,1.6,1.95,1.63,.039999999,2.95,4.1100001,1988,123800
5035,42.689999,48.599998,.18000001,.75,.050000001,.20999999,7.5300002,1982,122700
5037,73.790001,17.790001,.19,.039999999,0,.059999999,8.1199999,1978,83800
5039,53.889999,43.060001,.50999999,0,.38999999,.49000001,1.66,1979,78200
5041,48.799999,47.419998,.34999999,.40000001,0,1.53,1.51,1976,82500
5043,68.480003,28.459999,.02,.029999999,0,1.13,1.88,1982,102300
5045,81.720001,11.5,.36000001,1.15,.13,1.87,3.26,1995,163900
5047,93.190002,.98000002,1.61,.75,.33000001,.95999998,2.1800001,1982,96900
5049,94.650002,.33000001,.91000003,.13,.20999999,.07,3.6900001,1983,84400
5051,85.010002,8.3500004,.98000002,.81999999,.039999999,1.8,3,1981,142100
5053,93.93,2.6300001,.11,0,.16,.43000001,2.74,1990,122600
5055,93.639999,2.3099999,.28,.37,.050000001,.73000002,2.6099999,1988,124800
5057,56.470001,30.1,.55000001,.13,.34,9.9099998,2.5,1977,87700
5059,84.620003,11.28,.28,.23,.02,.95999998,2.6099999,1981,102400
5061,66.330002,20.52,.43000001,.87,.13,9.1800003,2.54,1979,101000
5063,89.82,1.91,.28,.81,0,3.1800001,4,1987,97900
5065,90.25,1.04,.81999999,0,0,.28,7.6100001,1979,81900
5067,76.940002,11.53,.090000004,.050000001,.039999999,.23999999,11.12,1975,71300
5069,39.25,55.779999,.28999999,.98000002,.52999997,1.08,2.0899999,1976,84900
5071,88.970001,1.5599999,.18000001,2.25,.16,2.03,4.8499999,1987,107600
5073,59.849998,35.759998,.30000001,.74000001,0,1.66,1.6799999,1975,60800
5075,94.699997,1.41,.27000001,.07,.0099999998,.23999999,3.3,1977,75400
5077,42.630001,55.720001,.34999999,.07,0,.56999999,.67000002,1973,76400
5079,65.849998,30.25,.55000001,0,0,2.24,1.12,1986,90600
5081,74.559998,19.299999,1.08,.33000001,0,1.88,2.8499999,1978,77400
5083,89.849998,1.48,.81,1.59,0,.86000001,5.4000001,1978,100500
5085,88.199997,5.54,.47999999,1,.20999999,1.16,3.4100001,1995,145000
5087,92.43,.1,.81,.76999998,.62,1.41,3.8599999,1988,116000
5089,95.75,.69,1.03,.57999998,0,.07,1.88,1984,132200
5091,69.639999,25.030001,1.3200001,.28999999,.1,1.65,1.96,1982,113400
5093,60.23,34.990002,.07,.47,.079999998,1.1799999,2.97,1976,93000
5095,54.509998,42.259998,.68000001,.23,0,.44999999,1.86,1976,73500
5097,92.160004,.34999999,1.09,.38,0,3.05,2.98,1986,111600
5099,62.549999,34.82,.25,.059999999,.0099999998,0,2.3,1975,66400
5101,93.110001,.039999999,1.74,.1,.44,.74000001,3.8299999,1979,127100
5103,56.330002,42.639999,0,.039999999,0,.17,.81999999,1973,76900
5105,92.449997,2.8099999,.17,.059999999,0,1.61,2.8900001,1987,115000
5107,35.18,63.490002,.050000001,0,0,.28999999,.99000001,1973,80800
5109,88.910004,3.8099999,.44999999,.2,0,3.5799999,3.05,1981,86100
5111,87.050003,3.74,.079999998,.050000001,0,1.12,7.96,1977,81200
5113,90.260002,.51999998,1.6,.31,.11,3.51,3.7,1980,103700
5115,89.389999,2.72,.52999997,1.12,0,2.72,3.52,1985,129000
5117,85.870003,11.62,.12,.17,0,.49000001,1.72,1979,71800
5119,54.580002,37.040001,.34999999,2.1900001,.07,2.4400001,3.3299999,1979,161000
5121,93.449997,.92000002,.34999999,.31999999,.62,.75,3.5899999,1979,92500
5123,40.18,52.869999,.46000001,.67000002,.16,2.04,3.6199999,1982,65200
5125,87.040001,7.6599998,.28,1.2,.090000004,1.03,2.7,1995,159300
5127,87,2.1600001,.36000001,1.37,0,4.46,4.6500001,1981,81900
5129,90.879997,.51999998,3.3299999,.34999999,0,.11,4.8000002,1977,99000
5131,72.059998,6.1999998,1.05,4.54,.02,9.79,6.3400002,1978,129300
5133,61.98,4.6399999,2.6800001,.47999999,.50999999,27.18,2.53,1980,95000
5135,93.800003,1.02,.17,.02,0,.31,4.6799998,1981,75200
5137,94.059998,.1,.36000001,.50999999,0,.72000003,4.2600002,1990,135800
5139,64.120003,32.959999,.73000002,.76999998,0,.43000001,.99000001,1976,89700
5141,94.389999,.62,1.28,.13,.079999998,.83999997,2.6500001,1987,105500
5143,75.160004,3.4200001,.81,2.6500001,2.6400001,9.1999998,6.1199999,1993,184300
5145,90.940002,4.2800002,.44999999,.80000001,0,.80000001,2.74,1991,125300
5147,69.790001,29.23,.02,0,0,0,.97000003,1977,74300
5149,77.800003,2.0899999,.38999999,1.22,0,16.870001,1.63,1985,110300
6001,37.98,10.35,.66000003,31.25,.81999999,11.09,7.8499999,1968,825300
6003,57.200001,.86000001,31.059999,.51999998,.34999999,.43000001,9.5799999,1981,372500
6005,84.669998,2.3900001,.70999998,.95999998,.079999998,3.9400001,7.2600002,1982,329300
6007,79.949997,1.73,1.1799999,4.8099999,.31999999,5.02,6.9899998,1979,304700
6009,87.410004,.98000002,1.13,1.89,.039999999,2.2,6.3499999,1987,340000
6011,79.160004,1.54,1.11,.94,.15000001,6.3699999,10.74,1976,274100
6013,53.040001,8.5900002,.44999999,17.440001,.49000001,10.86,9.1300001,1977,655500
6015,72.230003,2.7,7.02,3.1800001,.18000001,6.9000001,7.8000002,1980,227500
6017,86.449997,.82999998,.69,4.79,.25,2.4400001,4.5500002,1983,479800
6019,60.349998,4.6599998,1.17,10.63,.15000001,14.51,8.5200005,1979,271000
6021,80.110001,.77999997,2.25,3.1300001,.039999999,10.54,3.1600001,1976,242200
6023,78.730003,1.14,4.5300002,2.9000001,.37,4.4200001,7.9000001,1972,331300
6025,56.650002,2.6099999,1.17,1.4400001,.13,27.23,10.76,1989,206700
6027,76.440002,.54000002,10.73,1.5599999,.20999999,2.74,7.8000002,1972,258200
6029,67.610001,5.4400001,.94999999,4.8600001,.15000001,12.56,8.4300003,1983,226600
6031,63.380001,6.5,1.48,3.72,.13,16.040001,8.7600002,1984,227400
6033,75.790001,2.46,3.95,1.46,.02,11.28,5.0300002,1980,238000
6035,79.019997,8.8699999,2.5899999,1.54,.83999997,2.75,4.4000001,1978,207800
6037,47.759998,8.0699997,.77999997,14.83,.25,21.049999,7.27,1963,615500
6039,60.700001,3.1500001,1.61,2.1600001,.1,24.68,7.5999999,1987,268500
6041,76.730003,2.3099999,.25999999,5.8000002,.14,8.0299997,6.7199998,1966,1053600
6043,87.379997,1.54,2.26,1.0700001,.36000001,2.97,4.4200001,1984,290200
6045,80.019997,.49000001,4.3499999,2,.16,5.4499998,7.54,1976,388500
6047,50.959999,2.99,1.05,7.6300001,.27000001,30.9,6.1900001,1981,268800
6049,88.120003,1.39,3.54,1.91,.079999998,2.7,2.27,1974,153600
6051,83.129997,.56,2.8299999,4.4000001,0,4.6300001,4.4499998,1980,385500
6053,48.470001,2.5799999,.70999998,5.8200002,.49000001,35.099998,6.8499999,1974,559400
6055,71.160004,2.0699999,.69,7.5700002,.19,11.29,7.0300002,1975,666900
6057,92.129997,.41,.5,1.11,.15000001,1.1799999,4.5100002,1983,446100
6059,57.630001,1.71,.49000001,21.059999,.30000001,11.98,6.8499999,1976,703800
6061,80.379997,1.61,.56,8.1499996,.23,2.7,6.3600001,1992,495900
6063,88.510002,1.48,1.86,1.23,.15000001,1.77,4.9899998,1980,259300
6065,55.73,6.48,.76999998,6.75,.31999999,22.110001,7.8299999,1989,368100
6067,54.580002,9.6800003,.62,16.68,1.11,8.1899996,9.1499996,1979,373000
6069,73.370003,.85000002,.86000001,2.8399999,.1,10.1,11.89,1985,588500
6071,56.07,8.1599998,.85000002,7.3899999,.31,17.870001,9.3400002,1982,348500
6073,66.599998,4.9400001,.73000002,11.99,.41,6.73,8.6099997,1979,595600
6075,44.869999,5.1399999,.43000001,34.330002,.36000001,7.6999998,7.1700001,1944,1152300
6077,51.509998,7.0700002,.62,15.89,.61000001,10.16,14.13,1982,367900
6079,82.580002,1.72,.83999997,3.74,.090000004,4.4000001,6.6300001,1982,605200
6081,48.32,2.3599999,.50999999,29.389999,1.26,10.63,7.54,1965,1163100
6083,71.830002,1.9,1.11,5.5500002,.12,9.7600002,9.7299995,1973,610300
6085,41.639999,2.46,.51999998,37.669998,.36000001,9.8699999,7.48,1974,1061900
6087,71.669998,1.27,.63,4.9699998,.18000001,14.27,7.02,1973,787000
6089,85.120003,1.0700001,2.47,3.22,.16,2.1900001,5.79,1981,261000
6091,93.93,.1,2.3800001,0,0,3.04,.55000001,1974,229400
6093,83.18,1.54,3.8699999,1.26,.37,1.9,7.8899999,1976,214300
6095,50.669998,13.72,.56999999,15.56,.94999999,9.2299995,9.3000002,1981,437900
6097,72.5,1.66,.88999999,4.2800002,.31999999,13.3,7.04,1978,640000
6099,70.43,3.1099999,.87,5.8600001,.60000002,10.43,8.71,1980,314100
6101,63.650002,1.97,1.1,16.610001,.61000001,6.1799998,9.8800001,1980,306000
6103,84.120003,.64999998,1.35,1.7,.029999999,5.21,6.9400001,1980,231500
6105,85.269997,.51999998,5.7600002,1.95,.28,3.5799999,2.6500001,1978,285700
6107,66.769997,1.64,1.28,3.73,.13,18.43,8.0100002,1981,223600
6109,86.629997,1.86,1.75,1.39,.27000001,2.95,5.1500001,1979,314300
6111,75.410004,1.8200001,.82999998,7.2399998,.23,5.96,8.5,1976,609200
6113,66.419998,2.5999999,.64999998,14.44,.47,5.6799998,9.75,1982,456800
6115,73.510002,3.4000001,1.33,7.2600002,.40000001,4.3499999,9.75,1982,273600
8001,75.900002,3.3599999,1.05,3.98,.16,6.71,8.8400002,1988,335800
8003,79.300003,.67000002,3.45,1.26,.44999999,7.8099999,7.0500002,1982,153700
