countycode,total_insurance,total_insurance_building,total_insurance_contents
12063,243973.91,177095.6521739131,66878.26086956522
12065,42000,30000,12000
12067,32700,27500,5200
12069,221649.66,175370.6293706294,46279.02097902098
12071,497054.34,457681.4482758621,39372.89655172414
12073,260114.7,201026.4705882353,59088.23529411765
12075,194214.64,175328.0487804878,18886.58536585366
12077,105000,75000,30000
12081,339093.38,295074.3489583333,44019.01041666666
12083,235713.89,190344.4444444444,45369.44444444445
12085,366115.47,291187.1134020619,74928.35051546391
12086,2070485.1,2002923.142188414,67561.95143358689
12087,339164,305768.4721390054,33395.51827441582
12089,454981.34,394445.0704225352,60536.2676056338
12091,731208.38,658298.627787307,72909.77701543739
12093,176200,130930,45270
12095,270689.34,208127.3333333333,62562
12097,252939.39,196626.4069264069,56312.98701298701
12099,1634283.4,1561500.425079702,72782.99681190224
12101,196288.95,165718.2741116751,30570.68527918782
12103,394259.47,351200.2625820569,43059.21225382932
12105,229698.28,176285.2233676976,53413.05841924399
12107,199049.69,161329.6178343949,37720.06369426752
12109,308978,252599.5083207262,56378.4795763994
12111,361894.91,301096.6966966967,60798.1981981982
12113,311146.91,234595.5172413793,76551.37931034483
12115,401348.81,341632.5471698113,59716.27358490566
12117,277668.44,215301.6393442623,62366.80327868852
12119,205676.92,164530.7692307692,41146.15384615384
12121,199660,155250,44410
12123,208121.38,176469.465648855,31651.90839694656
12125,107540,89440,18100
12127,683153.44,634483.7148463047,48669.71877043819
12129,198366.19,177109.2526690392,21256.93950177936
12131,505648.06,431068.3116883117,74579.74025974025
12133,189997.5,145312.5,44685
13001,184000,160000,24000
13007,111611.11,90033.33333333333,21577.77777777778
13011,152600,132600,20000
13013,276666.66,233333.3333333333,43333.33333333334
13015,161000,115000,46000
13019,35000,35000,0
13021,253371.7,187254.7169811321,66116.98113207547
13023,250000,200000,50000
13027,188500,138500,50000
13029,292778.09,237849.5238095238,54928.57142857143
13031,265087.5,197400,67687.5
13035,215128.58,166557.1428571429,48571.42857142857
13039,241970.22,190788.829787234,51181.38297872341
13045,691800,366800,325000
13047,137349.19,119570.4918032787,17778.68852459016
13049,232500,162500,70000
13051,301651.63,243963.0684931507,57688.54794520548
13055,280000,180000,100000
13057,276500,197500,79000
13059,44200,37800,6400
13063,187292.86,143364.2857142857,43928.57142857143
13065,94000,74000,20000
13067,238945.13,179038.0530973451,59907.0796460177
13069,183237.5,146237.5,37000
13071,518150,263300,254850
13073,252500,200025.4545454546,52474.54545454546
13077,241000,175000,66000
13081,187797.73,156161.3636363636,31636.36363636364
13083,185000,185000,0
13087,196416.67,167750,28666.66666666667
13089,249756.92,199933.4615384615,49823.46153846154
13091,140000,100000,40000
13093,118466.66,105533.3333333333,12933.33333333333
13095,169632.36,141679.4117647059,27952.94117647059
13097,343333.34,254166.6666666667,89166.66666666667
13099,140400,120400,20000
13103,226060.88,170713.0434782609,55347.82608695652
13107,37500,37500,0
13111,193768.75,161287.5,32481.25
13113,232531.25,177687.5,54843.75
13115,245306.25,170575,74731.25
13117,281275,203541.6666666667,77733.33333333333
13121,292370.31,228156.862745098,64213.44537815126
13123,307500,237500,70000
13127,375744.19,321583.1295843521,54161.04319478403
13129,97333.336,97333.33333333333,0
13133,350000,250000,100000
13135,276566.66,226205.3333333333,50361.33333333334
13137,289562.97,215859.2592592593,73703.70370370371
13139,299400,236200,63200
13145,304200,215366.6666666667,88833.33333333333
13151,255591.67,190208.3333333333,65383.33333333334
13153,237983.78,188683.7837837838,49300
13155,120000,120000,0
13157,140000,100000,40000
13161,112833.34,92166.66666666667,20666.66666666667
13173,137500,130000,7500
13175,60900,49260,11640
13177,240536.08,187688.6597938144,52847.42268041237
13179,218407.3,181383.3333333333,37023.95833333334
13183,256666.67,183333.3333333333,73333.33333333333
13185,256666.67,183333.3333333333,73333.33333333333
13187,325000,250000,75000
13191,263620.47,223809.0909090909,39811.36363636364
13195,350000,250000,100000
13201,242850,242850,0
13205,96191.664,88858.33333333333,7333.333333333333
13207,290000,210000,80000
13209,105175,93275,11900
13211,350000,250000,100000
13213,159500,111000,48500
13215,259446.16,200580.7692307692,58865.38461538462
13217,194916.67,141750,53166.66666666666
13219,210000,150000,60000
13223,320083.34,236750,83333.33333333333
13225,100000,71200,28800
13227,121400,109400,12000
13231,350000,250000,100000
13233,138083.33,120583.3333333333,17500
13235,248100,248100,0
13237,137000,137000,0
13241,309954.53,273918.1818181818,36036.36363636364
13243,190800,144200,46600
13245,189237.88,155090.9090909091,34146.9696969697
13247,311355.56,221333.3333333333,90022.22222222222
13251,45000,45000,0
13253,118750,99142.85714285714,19607.14285714286
13255,238055.56,178888.8888888889,59166.66666666666
13257,94500,84500,10000
13261,96000,80000,16000
13267,163666.67,127927.7777777778,35738.88888888889
13269,350000,250000,100000
13273,151666.67,108333.3333333333,43333.33333333334
13275,217916.67,151858.3333333333,66058.33333333333
13277,172200,123000,49200
